Comment,Designator,Footprint,LCSC,Quantity
0,"R2,R3,R5",R_0603_1608Metric,C1952,3
100k,R10,R_0603_1608Metric,C15458,1
100nF,C5,C_0603_1608Metric,C1591,1
10k,"R4,R6",R_0603_1608Metric,C15401,2
10uF,C4,C_0805_2012Metric,C15850,1
1500,R8,R_0603_1608Metric,C22843,1
1uF,"C2,C3,C6,C7",C_0603_1608Metric,C15849,4
22nF,C8,C_0603_1608Metric,C21122,1
22uF,C23,C_0603_1608Metric,C86295,1
47nF,C1,C_0603_1608Metric,C1622,1
47uH,L1,L_0603_1608Metric,C3910945,1
5.1k,"R1,R9",R_0603_1608Metric,C23186,2
560k,R7,R_0603_1608Metric,C23203,1
CGA3E2X7R2A102K080AA,"C18,C19",C_0603_1608Metric,C1588,2
CGA3E2X7R2A103K080AA,"C17,C20",C_0603_1608Metric,C1589,2
CGA3E3X7S2A104K080AB,"C15,C22",C_0603_1608Metric,C15849,2
CGA3E3X7S2A104K080AB,"C16,C21",C_0603_1608Metric,C1591,2
Data Conn,J4,Molex 1x8 Right-Angle Conn,C587867,1
Input Power,J1,Molex_Pico-Lock_504050-0291_1x02-1MP_P1.50mm_Horizontal,C5119943,1
MCF8315C1VQRGFRQ1,U1,MCF8315C,C31301704,1
MOTOR_OUT,J8,Molex Pico-Lock 3 Socket Header,C564183,1
TPS259531DSGR,U2,eFuse TPS259531DSGR_NV,C2155674,1
XAL5030-102MEC,L4,L_Coilcraft_XAL5030-XXX,C5379798,1
