Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,47nF,C_0603_1608Metric,70.3,-111.7,-90.0,top
C15,CGA3E3X7S2A104K080AB,C_0603_1608Metric,69.9,-126.155,-90.0,top
C16,CGA3E3X7S2A104K080AB,C_0603_1608Metric,68.4,-126.155,-90.0,top
C17,CGA3E2X7R2A103K080AA,C_0603_1608Metric,65.4,-126.155,-90.0,top
C18,CGA3E2X7R2A102K080AA,C_0603_1608Metric,66.9,-126.155,-90.0,top
C19,CGA3E2X7R2A102K080AA,C_0603_1608Metric,70.7,-116.255,0.0,top
C2,1uF,C_0603_1608Metric,64.8,-109.425,-90.0,top
C20,CGA3E2X7R2A103K080AA,C_0603_1608Metric,67.7,-116.255,180.0,top
C21,CGA3E3X7S2A104K080AB,C_0603_1608Metric,67.7,-117.755,180.0,top
C22,CGA3E3X7S2A104K080AB,C_0603_1608Metric,70.7,-117.755,0.0,top
C23,22uF,C_0603_1608Metric,66.54375,-111.4875,-90.0,top
C3,1uF,C_0603_1608Metric,71.175,-102.3,0.0,top
C4,10uF,C_0805_2012Metric,74.4,-112.4,0.0,top
C5,100nF,C_0603_1608Metric,74.2,-110.6,0.0,top
C6,1uF,C_0603_1608Metric,71.9,-111.425,-90.0,top
C7,1uF,C_0603_1608Metric,62.7,-126.655,0.0,top
C8,22nF,C_0603_1608Metric,62.7,-122.555,0.0,top
J1,Input Power,Molex_Pico-Lock_504050-0291_1x02-1MP_P1.50mm_Horizontal,57.3,-115.6,-90.0,top
J4,Data Conn,Molex 1x8 Right-Angle Conn,60.27965,-101.3,-90.0,top
J8,MOTOR_OUT,Molex Pico-Lock 3 Socket Header,82.3919,-106.4,90.0,top
L1,47uH,L_0603_1608Metric,68.24375,-111.4875,90.0,top
L4,XAL5030-102MEC,L_Coilcraft_XAL5030-XXX,69.3,-121.655,90.0,top
R1,5.1k,R_0603_1608Metric,70.375,-99.8,90.0,top
R10,100k,R_0603_1608Metric,59.6,-123.9,180.0,top
R2,0,R_0603_1608Metric,67.9,-101.2,-90.0,top
R3,0,R_0603_1608Metric,65.9,-101.2,-90.0,top
R4,10k,R_0603_1608Metric,67.9,-97.7,-90.0,top
R5,0,R_0603_1608Metric,74.1,-99.6,0.0,top
R6,10k,R_0603_1608Metric,65.9,-97.7,-90.0,top
R7,560k,R_0603_1608Metric,60.2,-126.3,90.0,top
R8,1500,R_0603_1608Metric,65.4,-123.155,-90.0,top
R9,5.1k,R_0603_1608Metric,65.9,-94.425,90.0,top
U1,MCF8315C1VQRGFRQ1,MCF8315C,70.7,-106.5,90.0,top
U2,TPS259531DSGR,eFuse TPS259531DSGR_NV,62.7,-124.654997,0.0,top
